tile_id,region_id,z,x,y,image_path,mask_path,non_background_ratio,pixel_hist_json,vector_source,zoom,crs
moscow_city_small_17_79218_40964,moscow_city_small,17,79218,40964,images/tiles/moscow_city_small_17_79218_40964.png,masks/tiles/moscow_city_small_17_79218_40964.png,0.45433,"{""0"": 35761, ""3"": 17073, ""4"": 12702}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79219_40964,moscow_city_small,17,79219,40964,images/tiles/moscow_city_small_17_79219_40964.png,masks/tiles/moscow_city_small_17_79219_40964.png,0.686783,"{""0"": 20527, ""2"": 9268, ""3"": 18711, ""4"": 17030}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79220_40964,moscow_city_small,17,79220,40964,images/tiles/moscow_city_small_17_79220_40964.png,masks/tiles/moscow_city_small_17_79220_40964.png,0.571075,"{""0"": 28110, ""2"": 1368, ""3"": 16522, ""4"": 19536}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79221_40964,moscow_city_small,17,79221,40964,images/tiles/moscow_city_small_17_79221_40964.png,masks/tiles/moscow_city_small_17_79221_40964.png,0.563889,"{""0"": 28581, ""2"": 3021, ""3"": 17670, ""4"": 16264}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79222_40964,moscow_city_small,17,79222,40964,images/tiles/moscow_city_small_17_79222_40964.png,masks/tiles/moscow_city_small_17_79222_40964.png,0.675934,"{""0"": 21238, ""2"": 3125, ""3"": 26262, ""4"": 14911}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79223_40964,moscow_city_small,17,79223,40964,images/tiles/moscow_city_small_17_79223_40964.png,masks/tiles/moscow_city_small_17_79223_40964.png,0.650436,"{""0"": 22909, ""2"": 1109, ""3"": 23588, ""4"": 17930}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79224_40964,moscow_city_small,17,79224,40964,images/tiles/moscow_city_small_17_79224_40964.png,masks/tiles/moscow_city_small_17_79224_40964.png,0.698349,"{""0"": 19769, ""2"": 2544, ""3"": 18359, ""4"": 24864}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79225_40964,moscow_city_small,17,79225,40964,images/tiles/moscow_city_small_17_79225_40964.png,masks/tiles/moscow_city_small_17_79225_40964.png,0.642868,"{""0"": 23405, ""2"": 2349, ""3"": 24055, ""4"": 15727}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79226_40964,moscow_city_small,17,79226,40964,images/tiles/moscow_city_small_17_79226_40964.png,masks/tiles/moscow_city_small_17_79226_40964.png,0.662537,"{""0"": 22116, ""2"": 824, ""3"": 19484, ""4"": 23112}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79227_40964,moscow_city_small,17,79227,40964,images/tiles/moscow_city_small_17_79227_40964.png,masks/tiles/moscow_city_small_17_79227_40964.png,0.690811,"{""0"": 20263, ""2"": 2052, ""3"": 21354, ""4"": 21867}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79228_40964,moscow_city_small,17,79228,40964,images/tiles/moscow_city_small_17_79228_40964.png,masks/tiles/moscow_city_small_17_79228_40964.png,0.789719,"{""0"": 13781, ""2"": 10146, ""3"": 28018, ""4"": 13591}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79229_40964,moscow_city_small,17,79229,40964,images/tiles/moscow_city_small_17_79229_40964.png,masks/tiles/moscow_city_small_17_79229_40964.png,0.914719,"{""0"": 5589, ""2"": 29724, ""3"": 13143, ""4"": 17080}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79230_40964,moscow_city_small,17,79230,40964,images/tiles/moscow_city_small_17_79230_40964.png,masks/tiles/moscow_city_small_17_79230_40964.png,0.758713,"{""0"": 15813, ""2"": 11582, ""3"": 18565, ""4"": 19576}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79231_40964,moscow_city_small,17,79231,40964,images/tiles/moscow_city_small_17_79231_40964.png,masks/tiles/moscow_city_small_17_79231_40964.png,0.758713,"{""0"": 15813, ""3"": 30264, ""4"": 19459}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79232_40964,moscow_city_small,17,79232,40964,images/tiles/moscow_city_small_17_79232_40964.png,masks/tiles/moscow_city_small_17_79232_40964.png,0.621704,"{""0"": 24792, ""2"": 246, ""3"": 25119, ""4"": 15379}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79233_40964,moscow_city_small,17,79233,40964,images/tiles/moscow_city_small_17_79233_40964.png,masks/tiles/moscow_city_small_17_79233_40964.png,0.770798,"{""0"": 15021, ""2"": 16632, ""3"": 15307, ""4"": 18576}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79234_40964,moscow_city_small,17,79234,40964,images/tiles/moscow_city_small_17_79234_40964.png,masks/tiles/moscow_city_small_17_79234_40964.png,0.804672,"{""0"": 12801, ""2"": 8438, ""3"": 25238, ""4"": 19059}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79235_40964,moscow_city_small,17,79235,40964,images/tiles/moscow_city_small_17_79235_40964.png,masks/tiles/moscow_city_small_17_79235_40964.png,0.741577,"{""0"": 16936, ""2"": 2148, ""3"": 25958, ""4"": 20494}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79236_40964,moscow_city_small,17,79236,40964,images/tiles/moscow_city_small_17_79236_40964.png,masks/tiles/moscow_city_small_17_79236_40964.png,0.713913,"{""0"": 18749, ""2"": 601, ""3"": 23505, ""4"": 22681}",Overture Maps,17,EPSG:4326
moscow_city_small_17_79237_40964,moscow_city_small,17,79237,40964,images/tiles/moscow_city_small_17_79237_40964.png,masks/tiles/moscow_city_small_17_79237_40964.png,0.824554,"{""0"": 11498, ""2"": 804, ""3"": 32925, ""4"": 20309}",Overture Maps,17,EPSG:4326
