tile_id,region_id,z,x,y,image_path,mask_path,non_background_ratio,pixel_hist_json,vector_source,zoom,crs,kept_reason
moscow_city_small_17_79218_40964,moscow_city_small,17,79218,40964,images/tiles/moscow_city_small_17_79218_40964.png,masks/tiles/moscow_city_small_17_79218_40964.png,0.383636,"{""0"": 40394, ""3"": 17695, ""4"": 7447}",Overture Maps,17,EPSG:4326,"max_class_share=0.62,fg_share=0.38"
moscow_city_small_17_79219_40964,moscow_city_small,17,79219,40964,images/tiles/moscow_city_small_17_79219_40964.png,masks/tiles/moscow_city_small_17_79219_40964.png,0.662323,"{""0"": 22130, ""2"": 11828, ""3"": 21770, ""4"": 9808}",Overture Maps,17,EPSG:4326,"max_class_share=0.34,fg_share=0.66"
moscow_city_small_17_79220_40964,moscow_city_small,17,79220,40964,images/tiles/moscow_city_small_17_79220_40964.png,masks/tiles/moscow_city_small_17_79220_40964.png,0.439713,"{""0"": 36719, ""2"": 1368, ""3"": 17317, ""4"": 10132}",Overture Maps,17,EPSG:4326,"max_class_share=0.56,fg_share=0.44"
moscow_city_small_17_79221_40964,moscow_city_small,17,79221,40964,images/tiles/moscow_city_small_17_79221_40964.png,masks/tiles/moscow_city_small_17_79221_40964.png,0.451477,"{""0"": 35948, ""2"": 3493, ""3"": 18474, ""4"": 7621}",Overture Maps,17,EPSG:4326,"max_class_share=0.55,fg_share=0.45"
moscow_city_small_17_79222_40964,moscow_city_small,17,79222,40964,images/tiles/moscow_city_small_17_79222_40964.png,masks/tiles/moscow_city_small_17_79222_40964.png,0.615448,"{""0"": 25202, ""2"": 3208, ""3"": 27454, ""4"": 9672}",Overture Maps,17,EPSG:4326,"max_class_share=0.42,fg_share=0.62"
moscow_city_small_17_79223_40964,moscow_city_small,17,79223,40964,images/tiles/moscow_city_small_17_79223_40964.png,masks/tiles/moscow_city_small_17_79223_40964.png,0.588089,"{""0"": 26995, ""2"": 1160, ""3"": 26354, ""4"": 11027}",Overture Maps,17,EPSG:4326,"max_class_share=0.41,fg_share=0.59"
moscow_city_small_17_79224_40964,moscow_city_small,17,79224,40964,images/tiles/moscow_city_small_17_79224_40964.png,masks/tiles/moscow_city_small_17_79224_40964.png,0.711304,"{""0"": 18920, ""2"": 2688, ""3"": 20566, ""4"": 23362}",Overture Maps,17,EPSG:4326,"max_class_share=0.36,fg_share=0.71"
moscow_city_small_17_79225_40964,moscow_city_small,17,79225,40964,images/tiles/moscow_city_small_17_79225_40964.png,masks/tiles/moscow_city_small_17_79225_40964.png,0.585999,"{""0"": 27132, ""2"": 2542, ""3"": 24949, ""4"": 10913}",Overture Maps,17,EPSG:4326,"max_class_share=0.41,fg_share=0.59"
moscow_city_small_17_79226_40964,moscow_city_small,17,79226,40964,images/tiles/moscow_city_small_17_79226_40964.png,masks/tiles/moscow_city_small_17_79226_40964.png,0.537888,"{""0"": 30285, ""2"": 1051, ""3"": 22336, ""4"": 11864}",Overture Maps,17,EPSG:4326,"max_class_share=0.46,fg_share=0.54"
moscow_city_small_17_79227_40964,moscow_city_small,17,79227,40964,images/tiles/moscow_city_small_17_79227_40964.png,masks/tiles/moscow_city_small_17_79227_40964.png,0.599731,"{""0"": 26232, ""2"": 2444, ""3"": 24212, ""4"": 12648}",Overture Maps,17,EPSG:4326,"max_class_share=0.40,fg_share=0.60"
moscow_city_small_17_79228_40964,moscow_city_small,17,79228,40964,images/tiles/moscow_city_small_17_79228_40964.png,masks/tiles/moscow_city_small_17_79228_40964.png,0.762802,"{""0"": 15545, ""2"": 12618, ""3"": 29528, ""4"": 7845}",Overture Maps,17,EPSG:4326,"max_class_share=0.45,fg_share=0.76"
moscow_city_small_17_79229_40964,moscow_city_small,17,79229,40964,images/tiles/moscow_city_small_17_79229_40964.png,masks/tiles/moscow_city_small_17_79229_40964.png,0.867233,"{""0"": 8701, ""2"": 35458, ""3"": 13877, ""4"": 7500}",Overture Maps,17,EPSG:4326,"max_class_share=0.54,fg_share=0.87"
moscow_city_small_17_79230_40964,moscow_city_small,17,79230,40964,images/tiles/moscow_city_small_17_79230_40964.png,masks/tiles/moscow_city_small_17_79230_40964.png,0.683044,"{""0"": 20772, ""2"": 12651, ""3"": 21716, ""4"": 10397}",Overture Maps,17,EPSG:4326,"max_class_share=0.33,fg_share=0.68"
moscow_city_small_17_79231_40964,moscow_city_small,17,79231,40964,images/tiles/moscow_city_small_17_79231_40964.png,masks/tiles/moscow_city_small_17_79231_40964.png,0.672531,"{""0"": 21461, ""3"": 33832, ""4"": 10243}",Overture Maps,17,EPSG:4326,"max_class_share=0.52,fg_share=0.67"
moscow_city_small_17_79232_40964,moscow_city_small,17,79232,40964,images/tiles/moscow_city_small_17_79232_40964.png,masks/tiles/moscow_city_small_17_79232_40964.png,0.579407,"{""0"": 27564, ""2"": 242, ""3"": 26727, ""4"": 11003}",Overture Maps,17,EPSG:4326,"max_class_share=0.42,fg_share=0.58"
moscow_city_small_17_79233_40964,moscow_city_small,17,79233,40964,images/tiles/moscow_city_small_17_79233_40964.png,masks/tiles/moscow_city_small_17_79233_40964.png,0.76889,"{""0"": 15146, ""1"": 256, ""2"": 25128, ""3"": 15912, ""4"": 9094}",Overture Maps,17,EPSG:4326,"max_class_share=0.38,fg_share=0.77"
moscow_city_small_17_79234_40964,moscow_city_small,17,79234,40964,images/tiles/moscow_city_small_17_79234_40964.png,masks/tiles/moscow_city_small_17_79234_40964.png,0.769714,"{""0"": 15092, ""2"": 11988, ""3"": 28246, ""4"": 10210}",Overture Maps,17,EPSG:4326,"max_class_share=0.43,fg_share=0.77"
moscow_city_small_17_79235_40964,moscow_city_small,17,79235,40964,images/tiles/moscow_city_small_17_79235_40964.png,masks/tiles/moscow_city_small_17_79235_40964.png,0.672485,"{""0"": 21464, ""2"": 2161, ""3"": 30273, ""4"": 11638}",Overture Maps,17,EPSG:4326,"max_class_share=0.46,fg_share=0.67"
moscow_city_small_17_79236_40964,moscow_city_small,17,79236,40964,images/tiles/moscow_city_small_17_79236_40964.png,masks/tiles/moscow_city_small_17_79236_40964.png,0.640121,"{""0"": 23585, ""2"": 680, ""3"": 28466, ""4"": 12805}",Overture Maps,17,EPSG:4326,"max_class_share=0.43,fg_share=0.64"
moscow_city_small_17_79237_40964,moscow_city_small,17,79237,40964,images/tiles/moscow_city_small_17_79237_40964.png,masks/tiles/moscow_city_small_17_79237_40964.png,0.767517,"{""0"": 15236, ""2"": 816, ""3"": 38304, ""4"": 11180}",Overture Maps,17,EPSG:4326,"max_class_share=0.58,fg_share=0.77"
moscow_city_small_17_79238_40964,moscow_city_small,17,79238,40964,images/tiles/moscow_city_small_17_79238_40964.png,masks/tiles/moscow_city_small_17_79238_40964.png,0.613571,"{""0"": 25325, ""2"": 1065, ""3"": 28274, ""4"": 10872}",Overture Maps,17,EPSG:4326,"max_class_share=0.43,fg_share=0.61"
moscow_city_small_17_79239_40964,moscow_city_small,17,79239,40964,images/tiles/moscow_city_small_17_79239_40964.png,masks/tiles/moscow_city_small_17_79239_40964.png,0.503586,"{""0"": 32533, ""2"": 1569, ""3"": 20258, ""4"": 11176}",Overture Maps,17,EPSG:4326,"max_class_share=0.50,fg_share=0.50"
moscow_city_small_17_79240_40964,moscow_city_small,17,79240,40964,images/tiles/moscow_city_small_17_79240_40964.png,masks/tiles/moscow_city_small_17_79240_40964.png,0.348465,"{""0"": 42699, ""1"": 148, ""2"": 2180, ""3"": 12467, ""4"": 8042}",Overture Maps,17,EPSG:4326,"max_class_share=0.65,fg_share=0.35"
moscow_city_small_17_79218_40965,moscow_city_small,17,79218,40965,images/tiles/moscow_city_small_17_79218_40965.png,masks/tiles/moscow_city_small_17_79218_40965.png,0.362503,"{""0"": 41779, ""3"": 14143, ""4"": 9614}",Overture Maps,17,EPSG:4326,"max_class_share=0.64,fg_share=0.36"
moscow_city_small_17_79219_40965,moscow_city_small,17,79219,40965,images/tiles/moscow_city_small_17_79219_40965.png,masks/tiles/moscow_city_small_17_79219_40965.png,0.464676,"{""0"": 35083, ""2"": 599, ""3"": 20524, ""4"": 9330}",Overture Maps,17,EPSG:4326,"max_class_share=0.54,fg_share=0.46"
moscow_city_small_17_79220_40965,moscow_city_small,17,79220,40965,images/tiles/moscow_city_small_17_79220_40965.png,masks/tiles/moscow_city_small_17_79220_40965.png,0.541443,"{""0"": 30052, ""2"": 7967, ""3"": 18545, ""4"": 8972}",Overture Maps,17,EPSG:4326,"max_class_share=0.46,fg_share=0.54"
moscow_city_small_17_79221_40965,moscow_city_small,17,79221,40965,images/tiles/moscow_city_small_17_79221_40965.png,masks/tiles/moscow_city_small_17_79221_40965.png,0.654678,"{""0"": 22631, ""2"": 7502, ""3"": 25021, ""4"": 10382}",Overture Maps,17,EPSG:4326,"max_class_share=0.38,fg_share=0.65"
moscow_city_small_17_79222_40965,moscow_city_small,17,79222,40965,images/tiles/moscow_city_small_17_79222_40965.png,masks/tiles/moscow_city_small_17_79222_40965.png,0.589798,"{""0"": 26883, ""2"": 1485, ""3"": 30148, ""4"": 7020}",Overture Maps,17,EPSG:4326,"max_class_share=0.46,fg_share=0.59"
moscow_city_small_17_79223_40965,moscow_city_small,17,79223,40965,images/tiles/moscow_city_small_17_79223_40965.png,masks/tiles/moscow_city_small_17_79223_40965.png,0.706329,"{""0"": 19246, ""2"": 7832, ""3"": 20032, ""4"": 18426}",Overture Maps,17,EPSG:4326,"max_class_share=0.31,fg_share=0.71"
